price_id,product_id,product_name,product_statement_descriptor,product_tax_code,description,created_utc,amount,currency,interval,interval_count,usage_type,aggregate_usage,billing_scheme,trial_period_days,tax_behavior,gst_rate_metadata,includes_gst_metadata,original_price_id_metadata,tax_amount_metadata,money_metadata,usage_limit_for_sessions_metadata,usage_limit_for_appointments_metadata,maximum_auto_renews_metadata,free_trial_metadata,includes_on_demand_metadata,minimum_auto_renews_metadata,studios_metadata,tax_rate_percent_metadata,validity_unit_metadata,location_metadata,freeze_duration_total_metadata,no_of_sessions_metadata,freeze_attempts_metadata,validity_metadata,price_after_tax_metadata,is_intro_offer_metadata,tax_bracket_id_metadata,city_from_host_id_metadata,activate_on_first_use_metadata,number_of_events_metadata,price_type_metadata,paid_trial_amount_metadata,allow_first_membership_only_metadata,auto_renew_metadata,membership_id_metadata,featured_metadata,subscription_type_metadata,pre_tax_price_metadata,duration_unit_metadata,host_id_metadata,type_metadata,modified_at_metadata,counts_as_free_for_payroll_metadata,guest_combined_usage_limit_metadata,price_metadata,duration_metadata,combined_usage_limit_enabled_metadata,host_name_metadata,city_metadata,is_guest_pass_enabled_metadata,disabled_metadata,is_single_buy_metadata,free_trial_duration_in_days_metadata,membership_name_metadata,valid_for_metadata,created_at_metadata,session_count_metadata,order_number_metadata,momence_id_metadata
price_1TgfcpFDEp8YEMWa0ITKCB27,prod_Ug1gfLhcnNMQ7a,Studio hosted class @ 20% disc,,,,2026-06-10 06:28,16800.00,inr,,,,,per_unit,,unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
price_1Ted5GFDEp8YEMWaLk8ssGyQ,prod_UduvboNkFXZosB,Studio 1 Month Unlimited,,,,2026-06-04 15:21,18637.00,inr,,,,,per_unit,,unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
price_1TZQucFDEp8YEMWaD9T7jEh5,prod_UYY06HmYsF4QoX,Studio Hosted Class x 2,,,,2026-05-21 07:20,31500.00,inr,,,,,per_unit,,unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
price_1TR8xsFDEp8YEMWagtmAmdZr,prod_UPyv1FqKQPZrcx,Studio 1 Month unlimited x 2,,,,2026-04-28 10:34,37274.00,inr,,,,,per_unit,,unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
price_1TMP4qFDEp8YEMWa1bZKmnWP,prod_UL5FBCoPnQl30u,Custom,,,,2026-04-15 08:45,15750.00,inr,,,,,per_unit,,unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
price_1TLibOFDEp8YEMWaEpBxYyKc,prod_UKNMBJJYdv4p5L,Studio 3 Month U/L - Anniversary LP,,,,2026-04-13 11:24,53287.00,inr,,,,,per_unit,,unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
price_1TJtMzFDEp8YEMWa3ApRnDCu,prod_UIULHXwaI42Dn6,The Studio Big Flex,,,,2026-04-08 10:30,110000.00,inr,,,,,per_unit,,unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
price_1TCI27FDEp8YEMWaytGRvydo,prod_UAdIir3uiYbHI2,Studio 40 Single Private Class Packge,,,,2026-03-18 11:13,168000.00,inr,,,,,per_unit,,unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
price_1TCHqIFDEp8YEMWaFvp4cdcy,prod_U0RbuaYkg2TLKd,Studio Private Class,,,,2026-03-18 11:00,5250.00,inr,,,,,per_unit,,unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
price_1T9NKPFDEp8YEMWa9zOY2F8R,prod_U7cZELRmLCFJae,Studio Hosted Class + Office Space,,,,2026-03-10 10:15,28350.00,inr,,,,,per_unit,,unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
